 0.07351   0.08232
-0.00217   0.05936
 0.07430   0.05037
 0.01655   0.00841
-0.00712   0.04179
-0.03463  -0.04242
 0.06417   0.01095
-0.01588   0.02104
-0.01029  -0.02971
 0.00728   0.02133
 0.09618   0.04641
 0.03223  -0.00351
-0.05969  -0.00793
 0.04512   0.01554
-0.02916  -0.00594
-0.03876  -0.06830
-0.07944  -0.09800
-0.08389  -0.08475
 0.07952   0.06369
 0.01473   0.02796
-0.05876  -0.06050
 0.02827  -0.02192
 0.05865   0.13730
 0.01854  -0.00906
 0.03640   0.07816
-0.01116  -0.01508
 0.02000   0.02095
 0.03096   0.03902
-0.00781   0.03242
-0.01931  -0.01583
-0.00622  -0.00952
 0.04400   0.05056
 0.02918  -0.01841
 0.04399   0.01633
 0.04981  -0.00682
 0.00000   0.00752
 0.03950   0.02008
-0.00726   0.02699
-0.01244   0.03140
 0.01170  -0.00305
-0.00890   0.01164
 0.06329   0.01540
-0.02381   0.02767
-0.01742  -0.00896
-0.01607   0.03699
-0.01089   0.01700
-0.03119   0.00072
 0.04198  -0.00691
-0.00733   0.05871
 0.00554   0.02784
-0.01848   0.00528
 0.02637   0.03592
 0.03303  -0.00790
-0.03578  -0.07433
-0.00928   0.02910
 0.00936   0.04509
 0.00935   0.03083
-0.02407   0.04739
-0.05806   0.03005
-0.01220   0.03267
-0.01852   0.04353
 0.01132   0.01094
-0.05858  -0.02187
 0.00667   0.03374
-0.02781  -0.07238
 0.00917  -0.00483
-0.01364  -0.01266
-0.04055  -0.09305
-0.00485  -0.01432
 0.10000   0.01269
-0.03902   0.03825
 0.02564   0.01623
 0.05227   0.14285
 0.01166   0.02094
 0.03448   0.05201
-0.01250   0.03648
-0.06245  -0.01788
 0.03636   0.05164
-0.08553   0.07092
-0.01583   0.00280
 0.02217   0.03777
-0.02410  -0.03594
 0.00444   0.00669
