5.712000000e+003	6.654000000e+003
4.603000000e+003	2.547000000e+003
6.800000000e+002	5.290000000e+002
6.550000000e+002	5.210000000e+002
4.230000000e+002	4.650000000e+002
4.900000000e+002	2.500000000e+002
4.060000000e+002	2.070000000e+002
1.800000000e+002	1.920000000e+002
4.190000000e+002	1.871000061e+002
1.690000000e+002	1.600000000e+002
1.570000000e+002	1.000000000e+002
3.250000000e+002	8.500000000e+001
1.320000000e+003	6.200000000e+001
8.100000000e+001	6.000000000e+001
1.750000000e+002	5.550000000e+001
4.400000000e+002	5.215999985e+001
1.195000000e+002	3.633000183e+001
5.600000000e+001	3.500000000e+001
1.150000000e+002	2.765999985e+001
9.819999695e+001	1.482999992e+001
1.795000000e+002	1.055000019e+001
1.150000000e+002	1.000000000e+001
1.790000000e+002	6.800000191e+000
3.920000076e+001	4.288000107e+000
5.040000153e+001	4.235000134e+000
5.800000000e+001	4.190000057e+000
1.700000000e+001	4.050000191e+000
2.100000000e+001	3.599999905e+000
1.080000019e+001	3.500000000e+000
3.900000095e+000	3.500000000e+000
4.450000000e+001	3.384999990e+000
2.560000038e+001	3.299999952e+000
2.500000000e+001	3.000000000e+000
1.210000038e+001	2.500000000e+000
1.230000019e+001	2.000000000e+000
6.300000191e+000	1.700000048e+000
1.139999962e+001	1.620000005e+000
1.750000000e+001	1.409999967e+000
1.250000000e+001	1.399999976e+000
8.100000381e+000	1.350000024e+000
5.500000000e+000	1.039999962e+000
6.599999905e+000	1.000000000e+000
5.699999809e+000	9.200000167e-001
2.599999905e+000	8.999999762e-001
3.500000000e+000	7.850000262e-001
1.230000019e+001	7.500000000e-001
2.400000095e+000	5.500000119e-001
1.550000000e+001	4.799999893e-001
6.400000000e+001	4.250000119e-001
1.899999976e+000	2.800000012e-001
5.000000000e+000	2.000000030e-001
3.000000000e+000	1.220000014e-001
1.000000000e+000	1.199999973e-001
2.500000000e+000	1.040000021e-001
4.000000000e+000	1.010000035e-001
1.200000048e+000	7.500000298e-002
1.000000000e+000	5.999999866e-002
3.300000131e-001	4.800000042e-002
3.000000119e-001	2.300000004e-002
4.000000060e-001	2.300000004e-002
2.500000000e-001	9.999999780e-003
1.400000006e-001	4.999999888e-003
