2.490000000e+002	4.540000000e+002	3.358000000e+003	1.660000000e+002
3.334000000e+003	2.612000000e+003	1.523000000e+004	1.209000000e+003
7.070000000e+002	5.420000000e+002	7.391000000e+003	1.190000000e+002
5.110000000e+002	3.520000000e+002	7.307000000e+003	2.430000000e+002
4.770000000e+002	5.350000000e+002	6.306000000e+003	9.100000000e+001
1.420000000e+002	1.370000000e+002	2.075000000e+003	3.400000000e+001
4.940000000e+002	4.750000000e+002	6.163000000e+003	2.150000000e+002
3.010000000e+002	2.270000000e+002	3.517000000e+003	7.000000000e+001
1.090000000e+002	1.000000000e+002	8.740000000e+002	1.600000000e+001
1.670000000e+002	1.240000000e+002	1.267000000e+003	3.700000000e+001
1.000000000e+002	8.100000000e+001	8.940000000e+002	1.400000000e+001
8.400000000e+001	6.700000000e+001	9.780000000e+002	2.000000000e+001
1.190000000e+002	1.000000000e+002	1.350000000e+003	1.500000000e+001
3.500000000e+001	4.600000000e+001	1.302000000e+003	1.600000000e+001
2.370000000e+002	2.830000000e+002	3.668000000e+003	8.000000000e+001
